name	logFC	P.Value	t	TFDatabase
UQCRH	0.222128	0.511656626165407	0.684946	absent
UQCRHL	0.222128	0.511656626165407	0.684946	absent
BATF3	0.222101	0.564888615235697	0.598898	absent
NBPF10	0.221339	0.676486609000413	0.432038	absent
MAN1A1	0.221331	0.421440919132603	0.844739	absent
MPG	0.220883	0.415507451342502	0.856027	absent
PTGES3	0.220646	0.6235071259936	0.509325	absent
VRK1	0.220455	0.540964152272761	0.636947	absent
C1orf131	0.220299	0.542613850586565	0.634292	absent
MATR3	0.220163	0.500682413191639	0.703353	absent
CCNT1	0.218906	0.234636871924433	1.279408	absent
ZNF384	0.218874	0.286870859158504	1.136403	absent
CBLL1	0.218823	0.424761007126238	0.838471	absent
IMP3	0.218752	0.638962728802761	0.486457	absent
NAMPT	0.218307	0.56729363050615	0.595125	absent
ARMC8	0.21815	0.654876668155312	0.463196	absent
ZNF622	0.218132	0.454371784809375	0.784003	absent
LEO1	0.217663	0.56893911718326	0.592548	absent
EIF2B5	0.215521	0.447790267459127	0.795896	absent
SCAF1	0.215442	0.479928714376412	0.73887	absent
KRT86	0.215252	0.833220033323977	0.217155	absent
SLC6A15	0.215034	0.447227331427559	0.796919	absent
CDCA2	0.215024	0.595554383911748	0.551442	absent
MYL12A	0.213785	0.690680493234427	0.411822	absent
MYL12B	0.213785	0.690680493234427	0.411822	absent
RPA3	0.21368	0.680850906129483	0.425802	absent
NBPF20	0.213435	0.686931755310555	0.417143	absent
NBPF8	0.213435	0.686931755310555	0.417143	absent
NBPF9	0.213435	0.686931755310555	0.417143	absent
GPS2	0.21312	0.370474131364073	0.945665	absent
DDX24	0.212709	0.473136452688477	0.750708	absent
PIN1	0.212492	0.659561970447882	0.4564	absent
SRSF4	0.212393	0.285393427078151	1.140144	absent
FKBP5	0.212266	0.540817197304192	0.637184	absent
EHMT2	0.212225	0.322216455062975	1.051136	absent
BNIP1	0.212029	0.298754059764589	1.106856	absent
UBE2M	0.21199	0.685627054749755	0.418998	absent
PHF5A	0.211715	0.0121001887033231	3.177564	absent
SF3A1	0.211061	0.611956316531208	0.526606	absent
ZNF326	0.210747	0.577987679074577	0.578456	absent
MAX	0.210259	0.648654866034869	0.472257	absent
POLR1D	0.21024	0.640277718563385	0.484524	absent
STK25	0.210184	0.714802543203962	0.377878	absent
GTF2E2	0.209747	0.490574402523991	0.720532	absent
PHC2	0.209603	0.494136740637511	0.714452	absent
PWP2	0.209594	0.598323998182755	0.547223	absent
HSPA1B	0.208497	0.564162393601365	0.600039	absent
TOP2B	0.208171	0.427102639988593	0.834071	absent
