Id,Group,Group_name,Complex_name,Status,Alternative_name,Protein,UniProt_ID,PMID_complex,Function,PMID_function,Target,Specific_target,Product,Uniprot_ID_target,PMID_target,Comment
18,2,SWI/SNF,SWI/SNF-like EPAFB,#,EPAFB,"SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, ACTL6A/BAF53A, SMARCE1/BAF57, SMARCD1/BAF60A, SMARCD2/BAF60B, SMARCC1/BAF155, SMARCC2/BAF170, ARID1B/BAF250B, MLLT1/ENL and actin.","ACL6A_HUMAN, ACTB_HUMAN, ARI1B_HUMAN, ENL_HUMAN, SMCA4_HUMAN, SMCE1_HUMAN, SMRC1_HUMAN, SMRC2_HUMAN, SMRD1_HUMAN, SMRD2_HUMAN, SNF5_HUMAN",12665591,chromatin remodeling complex,12665591,chromatin,#,#,#,#,#
19,2,SWI/SNF,bBAF,#,#,"actin (ACTB), ARID1A/BAF250, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCC2/BAF170, SMARCD2/BAF60B and SMARCE1/BAF57","ACTB_HUMAN, ARI1A_HUMAN, SMCA2_HUMAN, SMCA4_HUMAN, SMCE1_HUMAN, SMRC1_HUMAN, SMRC2_HUMAN, SMRD2_HUMAN, SNF5_HUMAN",Uniprot (by similarity),chromatin remodeling complex,Uniprot (by similarity),chromatin,#,#,#,#,#
20,2,SWI/SNF,SWI/SNF BRM-BRG1,#,#,"BRM, BRG1, actin, BAF45A, BAF45B, BAF45C, BAF45D, BAF47, BAF53A, BAF53B, BAF60A, BAF60B, BAF60C, BAF155, BAF170, BAF180, BAF200, BAF250A, BAF250B, BAP57, BRD7, BRD9","ACL6A_HUMAN, ACL6B_HUMAN, ARI1A_HUMAN, ARI1B_HUMAN, ACTB_HUMAN, BRD7_HUMAN, BRD9_HUMAN, DPF1_HUMAN, DPF3_HUMAN, SMCA2_HUMAN, SMCA4_HUMAN, SMRC1_HUMAN, SMRC2_HUMAN, SMRD1_HUMAN, SMRD2_HUMAN, SMRD3_HUMAN, SNF5_HUMAN, PB1_HUMAN, PHF10_HUMAN, REQU_HUMAN",22108599,chromatin remodeling complex,22108599,chromatin,#,#,#,#,#
21,3,Ino80,Ino80,#,INO80C,#,"ACL6A_HUMAN, ARP5_HUMAN, ARP8_HUMAN, INO80_HUMAN, IN80B_HUMAN, IN80C_HUMAN, IN80D_HUMAN, MCRS1_HUMAN, NFRKB_HUMAN, RUVB1_HUMAN, RUVB2_HUMAN, TFPT_HUMAN, TYY1_HUMAN, UCHL5_HUMAN",16230350,chromatin remodeling complex,16230350,"chromatin, histone",H2AS139ph,#,"H2A1_HUMAN, H2A1A_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2B_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AB1_HUMAN, H2AB2_HUMAN, H2AJ_HUMAN, H2AV_HUMAN, H2AW_HUMAN, H2AX_HUMAN, H2AY_HUMAN, H2AZ_HUMAN",15607974,"The chromatin remodeling INO80 complex which is involved in transcriptional regulation, DNA replication and probably DNA repair."
22,4,SWR,SWR,#,"SWR1-like complex, SWR-C, SWR1-C",#,"AN32E_HUMAN, BRD8_HUMAN, EP400_HUMAN, ING3_HUMAN, KAT5_HUMAN, RUVB1_HUMAN, RUVB2_HUMAN, TRRAP_HUMAN",24463511,chromatin remodeling complex,24463511,chromatin,#,#,#,#,#
23,5,APOB mRNA editosome,APOB_mRNA_editosome,#,"Appoprotein B, APOBEC1, apolipoprotein B mRNA editing enzyme complex","A1CF, APOBEC3F, APOBEC3G, APOBEC3H, APOBEC1, AICDA, SYNCRIP","ABEC1_HUMAN, ABC3F_HUMAN, ABC3G_HUMAN, ABC3H_HUMAN, A1CF_HUMAN, AICDA_HUMAN, HNRPQ_HUMAN",17121840,mRNA editing complex,11727199,"mRNA, DNA","dC, mC","dU, T",#,11727199,Responsible for the postranscriptional editing of a CAA codon for Gln to a UAA codon for stop in the APOB mRNA. Also involved in CGA (Arg) to UGA (Stop) editing in the NF1 mRNA. May also play a role in the epigenetic regulation of gene expression by participating in DNA demethylation.
24,6,HAT,PCAF,#,#,"TADA2L/ADA2, SUPT3H, TADA3L/ADA3, TAF5L/PAF65-beta, TAF6L/PAF65-alpha, TAF10/TAFII30, TAF12/TAFII20, TAF9/TAFII31 and TRRAP","SUPT3_HUMAN, TAD2A_HUMAN, TADA3_HUMAN, TAF5L_HUMAN, TAF6L_HUMAN, TAF10_HUMAN, TAF12_HUMAN, TRRAP_HUMAN, TAF9_HUMAN,",9674425,histone acetylation complex,8684459,histone,"H3K14, H3K18, H4K5, H4K8","H3K14ac, H3K18ac, H4K5ac, H4K8ac","H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN, H3C_HUMAN, H4_HUMAN",9880483,#
25,6,HAT,HBO1,#,#,"ING4 or ING5, KAT7/HBO1, MEAF6, and one of JADE1, JADE2 and JADE3","EAF6_HUMAN, (ING4_HUMAN|ING5_HUMAN), (JADE1_HUMAN|JADE2_HUMAN|JADE3_HUMAN)+, KAT7_HUMAN",16387653,histone acetylation complex,10438470,histone,"H3, H4","H3ac, H4ac","H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN, H3C_HUMAN, H4_HUMAN",10438470,"Has a histone H4-specific acetyltransferase activity, a reduced activity toward histone H3 and is responsible for the bulk of histone H4 acetylation in vivo. Through chromatin acetylation it may regulate DNA replication and act as a coactivator of TP53-dependent transcription."
26,6,HAT,TFTC-HAT,#,"hTFTC, TFTC","KAT2A, SUPT3, TAD2B, TADA3, TADA3, TAF10, TAF2, TAF4, TAF5, TAF5L, TAF6, TAF6L, TAF9B, TRRAP","KAT2A_HUMAN, ST65G_HUMAN, TAD2B_HUMAN, TADA3_HUMAN, TAF2_HUMAN, TAF4_HUMAN, TAF5_HUMAN, TAF5L_HUMAN, TAF6_HUMAN, TAF6L_HUMAN, TAF9B_HUMAN, TAF10_HUMAN, TRRAP_HUMAN",10373431,histone acetylation complex,10373431,histone,H3,H3ac,"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN, H3C_HUMAN",11406595,TATA binding protein free TAFII-containing transcription complex.
27,6,HAT,Pol2 elongator,#,RNA polymerase II elongator complex,"ELP1, ELP2, ELP3, ELP4, ELP5, ELP6","ELP1_HUMAN, ELP2_HUMAN, ELP3_HUMAN, ELP4_HUMAN, ELP5_HUMAN, ELP6_HUMAN","11714725, 11818576",histone acetylation complex,11714725,histone,"H3, H4","H3ac, H4ac","H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN, H3C_HUMAN, H4_HUMAN",11714725,"A histone acetyltransferase component of the RNA polymerase II (Pol II) holoenzyme and is involved in transcriptional elongation. Elongator may play a role in chromatin remodeling and is involved in acetylation of histones H3 and probably H4. Original name ""RNA polymerase II elongator complex""."
